Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity,Product Subtotal
230917JRGP6WX4,Completed,787224087288,Standard Local-J&T Express,pickup,2023-09-19 18:23,2023-09-19 12:31,2023-09-17 18:13,2023-09-17 18:23,ZARA KNITTED TUBE TOP,"Black,FREESIZE (S-L)",69,69,1,69
230917JUBJWTXE,Completed,787224316527,Standard Local-J&T Express,pickup,2023-09-28 19:14,2023-09-19 12:31,2023-09-17 19:04,2023-09-17 19:14,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black Skirt,XS-M (21-28 inches)",290,290,1,290
230917K78A4DMM,Completed,787224322746,Standard Local-J&T Express,pickup,2023-09-28 22:47,2023-09-19 12:31,2023-09-17 22:37,2023-09-17 22:47,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,XS-M (21-28 inches)",290,290,1,290
230918KD4HGRX8,Completed,SPEPH032536814539,Standard Local-SPX Express,pickup,2023-09-29 00:32,2023-09-26 15:11,2023-09-18 00:22,2023-09-18 00:32,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Skirt,XS-M (21-28 inches)",290,290,1,290
230918KDBKHM33,Completed,787253959360,Standard Local-J&T Express,pickup,2023-09-26 00:36,2023-09-25 13:11,2023-09-18 00:26,2023-09-18 00:36,10 PCS ZARA STRAPPY BUNDLE (RANDOM COLORS/FREESIZE),,400,400,1,400
230918KDEMTY3J,Completed,787235984461,Standard Local-J&T Express,pickup,2023-09-29 00:38,2023-09-21 12:35,2023-09-18 00:28,2023-09-18 00:38,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Shorts,L-XL (29-34 inches)",290,290,1,290
230918MMW0HU64,Completed,SPEPH031255055679,Standard Local-SPX Express,pickup,2023-09-29 12:24,2023-09-19 13:05,2023-09-18 12:14,2023-09-18 12:24,LIVE SELLING (MIOMAE ALOHA),,1066,1066,1,1066
230918MTBRUB58,Completed,SPEPH034667409029,Standard Local-SPX Express,pickup,2023-09-29 14:01,2023-09-19 13:05,2023-09-18 13:51,2023-09-18 14:01,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Skirt,XS-M (21-28 inches)",290,290,1,290
230918N9QAR04K,Completed,SPEPH035023814639,Standard Local-SPX Express,pickup,2023-09-29 18:36,2023-09-20 16:55,2023-09-18 18:26,2023-09-18 18:36,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black Skirt,XS-M (21-28 inches)",290,290,1,290
230918NC9XAQX5,Completed,SPEPH038755045959,Standard Local-SPX Express,pickup,2023-09-29 19:22,2023-09-20 16:55,2023-09-18 19:12,2023-09-18 19:22,LIVE SELLING (DERLENE MATEO),,175,175,1,175
230918NFUTC8VR,Completed,SPEPH033834177769,Standard Local-SPX Express,pickup,2023-09-29 20:26,2023-09-20 16:55,2023-09-18 20:16,2023-09-18 20:26,TWEED COORDS/DRESS CHECKOUT (16-25 sets),,5,5,1,5
230919PE5F4QD4,Completed,787230976970,Standard Local-J&T Express,pickup,2023-09-30 05:28,2023-09-20 13:09,2023-09-19 05:18,2023-09-19 05:28,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Black&White Short,XS-M (21-28 inches)",290,290,1,290
230919PYXNC20M,Completed,787230841171,Standard Local-J&T Express,pickup,2023-09-30 10:38,2023-09-28 13:58,2023-09-19 10:37,2023-09-19 10:38,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
230919Q0TUHSKR,Completed,787230757261,Standard Local-J&T Express,pickup,2023-09-30 10:53,2023-09-20 13:10,2023-09-19 10:52,2023-09-19 10:53,LIVE SELLING (CRIZTINE CENA),,1110,1110,1,1110
230919Q9NVH1QG,Completed,SPEPH036083741309,Standard Local-SPX Express,pickup,2023-09-27 13:41,2023-09-20 16:55,2023-09-19 13:31,2023-09-19 13:41,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
230919QHMY0HHM,Completed,SPEPH038721948199,Standard Local-SPX Express,pickup,2023-09-21 16:04,2023-09-20 16:55,2023-09-19 15:53,2023-09-19 16:04,ZARA KNITTED TUBE TOP,"Light brown,FREESIZE (S-L)",69,69,1,69
230919QRNWCCXJ,Completed,787230789044,Standard Local-J&T Express,pickup,2023-09-27 17:59,2023-09-20 13:10,2023-09-19 17:59,2023-09-19 17:59,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
