Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity,Product Subtotal,Order Complete Time
240509U38UBUH8,Completed,788779557743,Standard Local-J&T Express,pickup,2024-05-11 13:30,2024-05-11 13:32,2024-05-09 13:20,2024-05-09 13:30,ASSORTED TOPS (QUENNIE MOLAS),,1863,1863,1,1863,2024-05-15 15:23
240509U7X730SS,Completed,P35304NMFUTAC,Standard Local-Flash Express,pickup,2024-06-01 14:54,2024-05-11 14:14,2024-05-09 14:44,2024-05-09 14:54,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-18 09:50
240509UJ3351VE,Completed,SPEPH041680648815,Standard Local-SPX Express,pickup,2024-06-01 17:55,2024-05-11 11:36,2024-05-09 17:45,2024-05-09 17:55,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-19 08:47
240509UK8D38X5,Completed,P74074NMRWAAA,Standard Local-Flash Express,pickup,2024-05-11 18:16,2024-05-11 14:14,2024-05-09 18:06,2024-05-09 18:16,ASSORTED TOPS (JACKIE),,1098,1098,1,1098,2024-05-21 10:02
240509UMEEYPBW,Completed,SPEPH047665705625,Standard Local-SPX Express,pickup,2024-06-01 18:37,2024-05-11 11:36,2024-05-09 18:27,2024-05-09 18:37,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-17 09:53
240509UN3YJNXA,Completed,SPEPH043549960885,Standard Local-SPX Express,pickup,2024-05-11 18:49,2024-05-11 11:36,2024-05-09 18:39,2024-05-09 18:49,ASSORTED TOPS (LEA ACUÑA),,702,702,1,702,2024-05-18 07:31
240510W2UCQMGU,Completed,788780832491,Standard Local-J&T Express,pickup,2024-06-03 08:18,2024-05-11 13:32,2024-05-10 08:18,2024-05-10 08:18,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-17 08:12
2405100AQNYVMW,Completed,788777383322,Standard Local-J&T Express,pickup,2024-06-03 11:48,2024-05-11 13:32,2024-05-10 11:38,2024-05-10 11:48,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-14 17:43
2405100BCCSR5N,Completed,SPEPH043322571795,Standard Local-SPX Express,pickup,2024-06-03 12:00,2024-05-11 11:36,2024-05-10 11:50,2024-05-10 12:00,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-15 10:59
2405100E40MC6H,Completed,P45134NWNPEAK,Standard Local-Flash Express,pickup,2024-06-03 12:49,2024-05-11 14:14,2024-05-10 12:39,2024-05-10 12:49,FREEBIES FOR BUYERS ONLY (2),,5,5,1,5,2024-05-15 21:22
2405100JC14QMA,Completed,SPEPH047835865155,Standard Local-SPX Express,pickup,2024-06-03 13:55,2024-05-11 11:36,2024-05-10 13:55,2024-05-10 13:55,FREEBIES FOR BUYERS ONLY (2),,5,5,1,5,2024-05-17 11:40
2405100MCX9SEN,Completed,SPEPH044023111755,Standard Local-SPX Express,pickup,2024-06-03 14:41,2024-05-11 11:36,2024-05-10 14:31,2024-05-10 14:41,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-18 10:31
2405100YCCX4J3,Completed,SPEPH041989233135,Standard Local-SPX Express,pickup,2024-06-03 17:58,2024-05-13 13:30,2024-05-10 17:48,2024-05-10 17:58,FREEBIES FOR BUYERS ONLY (2),,5,5,1,5,2024-05-18 10:35
240510148TTQRR,Completed,SPEPH041492948105,Standard Local-SPX Express,pickup,2024-06-03 19:15,2024-05-13 13:29,2024-05-10 19:15,2024-05-10 19:15,FREEBIES FOR BUYERS ONLY (2),,5,5,1,5,2024-05-15 10:29
2405112RMJ07FJ,Completed,SPEPH044080703595,Standard Local-SPX Express,pickup,2024-06-04 11:03,2024-05-13 13:29,2024-05-11 10:53,2024-05-11 11:03,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-18 09:08
2405112U71T4UN,Completed,P03104P5Z2SBF,Standard Local-Flash Express,pickup,2024-06-04 11:49,2024-05-14 14:09,2024-05-11 11:39,2024-05-11 11:49,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-18 19:30
24051131CJR512,Completed,SPEPH042133417755,Standard Local-SPX Express,pickup,2024-06-04 13:39,2024-05-13 13:29,2024-05-11 13:29,2024-05-11 13:39,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-17 10:27
240511350XTWY6,Completed,SPEPH043974772695,Standard Local-SPX Express,pickup,2024-06-04 14:44,2024-05-13 13:29,2024-05-11 14:34,2024-05-11 14:44,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-24 06:54
24051135E69014,Completed,788778263163,Standard Local-J&T Express,pickup,2024-06-04 14:42,2024-05-13 12:42,2024-05-11 14:42,2024-05-11 14:42,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-15 07:21
24051135QHNBDF,Completed,788785400660,Standard Local-J&T Express,pickup,2024-06-04 14:57,2024-05-13 12:42,2024-05-11 14:47,2024-05-11 14:57,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-14 13:31
240511369JP5MA,Completed,SPEPH042835028585,Standard Local-SPX Express,pickup,2024-06-04 15:07,2024-05-13 13:29,2024-05-11 14:57,2024-05-11 15:07,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-19 10:40
24051136A8JTWC,Completed,SPEPH042270228465,Standard Local-SPX Express,pickup,2024-06-04 15:07,2024-05-13 13:29,2024-05-11 14:57,2024-05-11 15:07,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-17 17:07
24051136S4EQWF,Completed,788781878429,Standard Local-J&T Express,pickup,2024-06-04 15:16,2024-05-13 12:42,2024-05-11 15:06,2024-05-11 15:16,FREEBIES FOR BUYERS ONLY (2),,5,5,1,5,2024-05-14 18:44
2405113BX6W1AV,Completed,SPEPH041813822755,Standard Local-SPX Express,pickup,2024-06-04 16:48,2024-05-13 13:29,2024-05-11 16:38,2024-05-11 16:48,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-18 08:09
2405113CCEQY44,Completed,SPEPH048045647825,Standard Local-SPX Express,pickup,2024-06-04 16:56,2024-05-13 13:29,2024-05-11 16:46,2024-05-11 16:56,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-19 09:53
